Do you never feel overwhelmed by your workload?,Do you feel your work-life balance is satisfactory?,  Do you often feel motivated to complete your tasks at work?  ,Do you feel comfortable discussing your mental health concerns with your supervisor or colleagues?,Do you never find yourself frequently feeling exhausted or drained at the end of the workday?,Do you never feel pressured to work longer hours or take on additional responsibilities?,Are there any specific resources or programs that your company offers to support employee mental health?,Have you never noticed any changes in your eating or sleeping habits due to work-related stress?,Do you find it easy to relax or unwind after work hours?,Have you never experienced any significant changes in your relationships due to work-related stress?,Have you never felt like giving up or quitting your job?,  Do you regularly engage in physical activity or exercise?  ,"  Have you never experienced physical symptoms related to anxiety or depression, such as muscle tension, rapid heartbeat, or difficulty breathing?  ",  Have you never experienced any adverse health effects or allergic reactions to food items provided by the company?  
Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No
Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No
No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No
No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No
Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No
Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No
No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes
Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No
No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No
Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No
No,No,No,No,No,No,No,No,No,No,No,No,No,No
Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes
Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No
Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes
Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes
No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No
Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes
Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes
No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes
Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No
No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No
Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No
Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No
Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes
No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes
Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes
No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No
Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
